company_id,sector,year,cfo_cr,cff_cr,latest_net_profit_cr
AXISBANK,Financials,Mar 2024,-5555.0,22341.0,24861.0
BAJAJFINSV,Financials,Mar 2024,-68674.0,82709.0,15595.0
BAJFINANCE,Financials,Mar 2024,-72760.0,82415.0,14451.0
BANKBARODA,Financials,Mar 2024,-6274.0,5476.0,18869.0
BHEL,Industrials,Mar 2024,-3713.0,2656.0,282.0
CHOLAFIN,Financials,Mar 2024,-35683.0,38471.0,3420.0
GRASIM,Industrials,Mar 2024,-10719.0,33908.0,9926.0
M&M,Consumer Discretionary,Mar 2024,-5630.0,12281.0,12270.0
PFC,Financials,Mar 2024,-97820.0,101261.0,26461.0
PNB,Financials,Mar 2024,-27939.0,3518.0,9157.0
RECLTD,Financials,Mar 2024,-57723.0,59588.0,14145.0
SHRIRAMFIN,Financials,Mar 2024,-31101.0,27609.0,7399.0
TVSMOTOR,Consumer Discretionary,Mar 2024,-1253.0,2759.0,1779.0
