Financial Ratio Edge Cases
============================================================

ABB Dec 2012 | ROE Difference = 12.49%
ABB Dec 2012 | ROCE Difference = 14.78%
ABB Mar 2014 | ROE Difference = 9.77%
ABB Mar 2014 | ROCE Difference = 12.12%
ABB Mar 2015 | ROE Difference = 10.46%
ABB Mar 2015 | ROCE Difference = 12.70%
ABB Mar 2016 | ROE Difference = 13.56%
ABB Mar 2016 | ROCE Difference = 15.46%
ABB Mar 2017 | ROE Difference = 14.93%
ABB Mar 2017 | ROCE Difference = 17.30%
ABB Mar 2018 | ROE Difference = 11.21%
ABB Mar 2018 | ROCE Difference = 14.99%
ABB Mar 2019 | ROE Difference = 12.49%
ABB Mar 2019 | ROCE Difference = 15.87%
ABB Mar 2020 | ROE Difference = 10.51%
ABB Mar 2020 | ROCE Difference = 16.95%
ABB Mar 2021 | ROE Difference = 8.34%
ABB Mar 2021 | ROCE Difference = 12.53%
ABB Mar 2022 | ROE Difference = 6.57%
ABB Mar 2022 | ROCE Difference = 9.59%
ABB Mar 2023 | ROE Difference = 5.13%
ABB Mar 2023 | ROCE Difference = 9.47%
ABB Mar 2024 | ROCE Difference = 7.58%
ADANIENSOL Mar 2014 | ROE Difference = 8.59%
ADANIENSOL Mar 2014 | ROCE Difference = 9.00%
ADANIENSOL Mar 2015 | ROE Difference = 9.24%
ADANIENSOL Mar 2015 | ROCE Difference = 8.06%
ADANIENSOL Mar 2016 | ROE Difference = 5.18%
ADANIENSOL Mar 2016 | ROCE Difference = 8.12%
ADANIENSOL Mar 2017 | ROE Difference = 5.53%
ADANIENSOL Mar 2017 | ROCE Difference = 7.63%
ADANIENSOL Mar 2018 | ROE Difference = 10.28%
ADANIENSOL Mar 2018 | ROCE Difference = 8.14%
ADANIENSOL Mar 2021 | ROE Difference = 5.87%
ADANIENT Mar 2013 | ROE Difference = 7.95%
ADANIENT Mar 2016 | ROE Difference = 6.17%
ADANIENT Mar 2016 | ROCE Difference = 6.43%
ADANIENT Mar 2017 | ROE Difference = 7.10%
ADANIENT Mar 2017 | ROCE Difference = 6.16%
ADANIENT Mar 2018 | ROE Difference = 9.70%
ADANIENT Mar 2018 | ROCE Difference = 5.37%
ADANIENT Mar 2019 | ROE Difference = 10.21%
ADANIENT Mar 2020 | ROE Difference = 7.50%
ADANIENT Mar 2021 | ROE Difference = 7.54%
ADANIENT Mar 2022 | ROE Difference = 10.10%
ADANIENT Mar 2022 | ROCE Difference = 5.78%
ADANIENT Mar 2023 | ROE Difference = 6.31%
ADANIENT Mar 2024 | ROE Difference = 5.11%
ADANIGREEN Mar 2017 | ROE Difference = 18.61%
ADANIGREEN Mar 2017 | ROCE Difference = 89.24%
ADANIGREEN Mar 2018 | ROE Difference = 24.99%
ADANIGREEN Mar 2018 | ROCE Difference = 88.98%
ADANIGREEN Mar 2019 | ROE Difference = 39.27%
ADANIGREEN Mar 2019 | ROCE Difference = 84.83%
ADANIGREEN Mar 2020 | ROE Difference = 17.59%
ADANIGREEN Mar 2020 | ROCE Difference = 88.08%
ADANIGREEN Mar 2021 | ROE Difference = 6.43%
ADANIGREEN Mar 2021 | ROCE Difference = 88.01%
ADANIGREEN Mar 2022 | ROCE Difference = 90.17%
ADANIGREEN Mar 2023 | ROCE Difference = 88.42%
ADANIGREEN Mar 2024 | ROCE Difference = 86.70%
ADANIPORTS Mar 2013 | ROE Difference = 7.53%
ADANIPORTS Mar 2022 | ROE Difference = 6.26%
ADANIPORTS Mar 2023 | ROE Difference = 6.22%
ADANIPOWER Mar 2013 | ROE Difference = 110.56%
ADANIPOWER Mar 2013 | ROCE Difference = 30.12%
ADANIPOWER Mar 2014 | ROE Difference = 61.55%
ADANIPOWER Mar 2014 | ROCE Difference = 23.14%
ADANIPOWER Mar 2015 | ROE Difference = 71.35%
ADANIPOWER Mar 2015 | ROCE Difference = 22.93%
ADANIPOWER Mar 2016 | ROE Difference = 49.72%
ADANIPOWER Mar 2016 | ROCE Difference = 17.58%
ADANIPOWER Mar 2017 | ROE Difference = 262.90%
ADANIPOWER Mar 2017 | ROCE Difference = 21.42%
ADANIPOWER Mar 2018 | ROE Difference = 293.66%
ADANIPOWER Mar 2018 | ROCE Difference = 22.08%
ADANIPOWER Mar 2019 | ROE Difference = 69.86%
ADANIPOWER Mar 2019 | ROCE Difference = 23.09%
ADANIPOWER Mar 2020 | ROE Difference = 92.20%
ADANIPOWER Mar 2020 | ROCE Difference = 22.90%
ADANIPOWER Mar 2021 | ROE Difference = 47.41%
ADANIPOWER Mar 2021 | ROCE Difference = 18.96%
ADANIPOWER Mar 2022 | ROE Difference = 30.49%
ADANIPOWER Mar 2022 | ROCE Difference = 17.58%
ADANIPOWER Mar 2023 | ROE Difference = 21.19%
ADANIPOWER Mar 2023 | ROCE Difference = 18.22%
ADANIPOWER Mar 2024 | ROE Difference = 8.82%
ADANIPOWER Mar 2024 | ROCE Difference = 8.76%
AMBUJACEM Dec 2012 | ROE Difference = 5.45%
AMBUJACEM Dec 2012 | ROCE Difference = 15.12%
AMBUJACEM Dec 2014 | ROE Difference = 5.53%
AMBUJACEM Dec 2014 | ROCE Difference = 6.34%
AMBUJACEM Dec 2017 | ROCE Difference = 5.84%
AMBUJACEM Dec 2018 | ROCE Difference = 5.10%
AMBUJACEM Dec 2019 | ROCE Difference = 6.26%
AMBUJACEM Dec 2020 | ROCE Difference = 8.75%
AMBUJACEM Dec 2021 | ROE Difference = 5.40%
AMBUJACEM Dec 2021 | ROCE Difference = 11.24%
APOLLOHOSP Mar 2016 | ROE Difference = 6.76%
APOLLOHOSP Mar 2016 | ROCE Difference = 6.11%
APOLLOHOSP Mar 2017 | ROE Difference = 9.86%
APOLLOHOSP Mar 2017 | ROCE Difference = 5.80%
APOLLOHOSP Mar 2018 | ROE Difference = 11.96%
APOLLOHOSP Mar 2018 | ROCE Difference = 5.21%
APOLLOHOSP Mar 2019 | ROE Difference = 7.81%
APOLLOHOSP Mar 2020 | ROCE Difference = 5.74%
APOLLOHOSP Mar 2021 | ROE Difference = 10.83%
APOLLOHOSP Mar 2022 | ROE Difference = 5.89%
APOLLOHOSP Mar 2022 | ROCE Difference = 5.39%
ASIANPAINT Mar 2013 | ROCE Difference = 6.04%
ASIANPAINT Mar 2017 | ROCE Difference = 5.08%
ASIANPAINT Mar 2018 | ROE Difference = 6.50%
ASIANPAINT Mar 2018 | ROCE Difference = 5.92%
ASIANPAINT Mar 2019 | ROE Difference = 8.14%
ASIANPAINT Mar 2019 | ROCE Difference = 6.86%
ASIANPAINT Mar 2021 | ROE Difference = 6.41%
ASIANPAINT Mar 2021 | ROCE Difference = 6.81%
ASIANPAINT Mar 2022 | ROE Difference = 9.11%
ASIANPAINT Mar 2022 | ROCE Difference = 10.55%
ASIANPAINT Mar 2023 | ROE Difference = 5.22%
ASIANPAINT Mar 2023 | ROCE Difference = 6.83%
ASIANPAINT Mar 2024 | ROCE Difference = 5.98%
BAJAJ-AUTO Mar 2013 | ROE Difference = 12.35%
BAJAJ-AUTO Mar 2013 | ROCE Difference = 11.19%
BAJAJ-AUTO Mar 2014 | ROE Difference = 6.74%
BAJAJ-AUTO Mar 2014 | ROCE Difference = 7.21%
BAJAJ-AUTO Mar 2017 | ROCE Difference = 8.86%
BAJAJ-AUTO Mar 2018 | ROE Difference = 5.84%
BAJAJ-AUTO Mar 2018 | ROCE Difference = 9.91%
BAJAJ-AUTO Mar 2019 | ROE Difference = 5.29%
BAJAJ-AUTO Mar 2019 | ROCE Difference = 11.25%
BAJAJ-AUTO Mar 2020 | ROCE Difference = 10.05%
BAJAJ-AUTO Mar 2021 | ROE Difference = 8.69%
BAJAJ-AUTO Mar 2021 | ROCE Difference = 15.47%
BAJAJ-AUTO Mar 2022 | ROE Difference = 5.85%
BAJAJ-AUTO Mar 2022 | ROCE Difference = 15.96%
BAJAJ-AUTO Mar 2023 | ROE Difference = 5.86%
BAJAJ-AUTO Mar 2023 | ROCE Difference = 11.57%
BAJAJ-AUTO Mar 2024 | ROCE Difference = 5.11%
AXISBANK Mar 2017 | ROE Difference = 11.87%
AXISBANK Mar 2018 | ROE Difference = 17.97%
AXISBANK Mar 2019 | ROE Difference = 11.50%
AXISBANK Mar 2020 | ROE Difference = 16.52%
AXISBANK Mar 2021 | ROE Difference = 12.04%
AXISBANK Mar 2022 | ROE Difference = 7.39%
AXISBANK Mar 2023 | ROE Difference = 11.02%
BAJAJFINSV Mar 2013 | ROE Difference = 16.66%
BAJAJFINSV Mar 2014 | ROE Difference = 11.81%
BAJAJFINSV Mar 2014 | ROCE Difference = 5.56%
BAJAJFINSV Mar 2015 | ROE Difference = 10.00%
BAJAJFINSV Mar 2015 | ROCE Difference = 6.41%
BAJAJFINSV Mar 2016 | ROE Difference = 8.69%
BAJAJFINSV Mar 2016 | ROCE Difference = 7.57%
BAJAJFINSV Mar 2017 | ROE Difference = 9.64%
BAJAJFINSV Mar 2017 | ROCE Difference = 7.62%
BAJAJFINSV Mar 2018 | ROE Difference = 8.67%
BAJAJFINSV Mar 2018 | ROCE Difference = 8.62%
BAJAJFINSV Mar 2019 | ROE Difference = 10.92%
BAJAJFINSV Mar 2019 | ROCE Difference = 8.96%
BAJAJFINSV Mar 2020 | ROE Difference = 7.43%
